Checkers,2600,1980,Misc,0.22,0.01,0,0,0.24,N/A
Bridge,2600,1980,Misc,0.25,0.02,0,0,0.27,N/A
Freeway,2600,1980,Action,0.32,0.02,0,0,0.34,N/A
Ice Hockey,2600,1980,Sports,0.46,0.03,0,0.01,0.49,N/A
Boxing,2600,1980,Fighting,0.72,0.04,0,0.01,0.77,N/A
Defender,2600,1980,Misc,0.99,0.05,0,0.01,1.05,N/A
Kaboom!,2600,1980,Misc,1.07,0.07,0,0.01,1.15,N/A
Missile Command,2600,1980,Shooter,2.56,0.17,0,0.03,2.76,N/A
Asteroids,2600,1980,Shooter,4,0.26,0,0.05,4.31,N/A
RealSports Volleyball,2600,1981,Sports,0.12,0.01,0,0,0.13,N/A
Armor Ambush,2600,1981,Action,0.15,0.01,0,0,0.17,N/A
International Soccer,2600,1981,Sports,0.18,0.01,0,0,0.19,N/A
RealSports Baseball,2600,1981,Sports,0.2,0.01,0,0,0.21,N/A
Crazy Climber,2600,1981,Action,0.21,0.01,0,0,0.22,N/A
Deadly Duck,2600,1981,Shooter,0.21,0.01,0,0,0.22,N/A
Reactor,2600,1981,Action,0.21,0.01,0,0,0.22,N/A
Dark Cavern,2600,1981,Shooter,0.22,0.01,0,0,0.24,N/A
Front Line,2600,1981,Action,0.22,0.01,0,0,0.24,N/A
RealSports Football,2600,1981,Sports,0.24,0.01,0,0,0.26,N/A
Fast Food,2600,1981,Action,0.27,0.02,0,0,0.29,N/A
Astroblast,2600,1981,Action,0.29,0.02,0,0,0.31,N/A
Fireball,2600,1981,Action,0.3,0.02,0,0,0.33,N/A
Carnival,2600,1981,Shooter,0.32,0.02,0,0,0.34,N/A
Fantastic Voyage,2600,1981,Action,0.32,0.02,0,0,0.34,N/A
Frogs And Flies,2600,1981,Action,0.33,0.02,0,0,0.36,N/A
Dragonfire,2600,1981,Action,0.35,0.02,0,0,0.37,N/A
Airlock,2600,1981,Action,0.36,0.02,0,0,0.39,N/A
Laser Blast,2600,1981,Action,0.37,0.02,0,0,0.39,N/A
Mouse Trap,2600,1981,Action,0.38,0.02,0,0,0.4,N/A
Barnstorming,2600,1981,Action,0.4,0.02,0,0,0.43,N/A
Phoenix,2600,1981,Simulation,0.42,0.02,0,0,0.45,N/A
Jawbreaker,2600,1981,Action,0.42,0.03,0,0,0.45,N/A
Grand Prix,2600,1981,Racing,0.45,0.03,0,0,0.48,N/A
Raiders of the Lost Ark,2600,1981,Action,0.46,0.03,0,0.01,0.5,N/A
BurgerTime,2600,1981,Puzzle,0.55,0.03,0,0.01,0.59,N/A
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,0.55,0.03,0,0.01,0.59,N/A
Adventures of Tron,2600,1981,Action,0.63,0.03,0,0.01,0.67,N/A
King Kong,2600,1981,Action,0.65,0.04,0,0.01,0.69,N/A
Berzerk,2600,1981,Shooter,0.68,0.04,0,0.01,0.73,N/A
Air Raid,2600,1981,Action,0.72,0.04,0,0.01,0.77,N/A
Alien,2600,1981,Action,0.74,0.04,0,0.01,0.79,N/A
Custer's Revenge,2600,1981,Action,0.76,0.05,0,0.01,0.82,N/A
Spider-Man,2600,1981,Action,0.87,0.05,0,0.01,0.93,N/A
Donkey Kong Junior,2600,1981,Platform,0.9,0.05,0,0.01,0.97,N/A
Cosmic Ark,2600,1981,Shooter,0.99,0.05,0,0.01,1.05,N/A
Megamania,2600,1981,Shooter,1.03,0.06,0,0.01,1.1,N/A
Atlantis,2600,1981,Shooter,1.18,0.08,0,0.01,1.27,N/A
Centipede,2600,1981,Shooter,1.26,0.08,0,0.01,1.36,N/A
Donkey Kong,2600,1981,Platform,1.36,0.08,0,0.02,1.46,N/A
River Raid,2600,1981,Shooter,1.49,0.09,0,0.02,1.6,N/A
Ms. Pac-Man,2600,1981,Puzzle,1.54,0.1,0,0.02,1.65,N/A
E.T.: The Extra Terrestrial,2600,1981,Action,1.84,0.11,0,0.02,1.97,N/A
Demon Attack,2600,1981,Shooter,1.99,0.12,0,0.02,2.13,N/A
Frogger,2600,1981,Action,2.06,0.12,0,0.02,2.2,N/A
